Date,Open,High,Low,Close,Adj Close,Volume
2009-01-27,89.699997,90.394997,88.0,88.945,65.51245899999999,12274930.0
2009-01-28,89.800003,91.58000200000001,89.535004,91.175003,67.15496800000001,13174590.0
2009-01-29,92.489998,93.754997,91.0,92.345001,68.016716,23436980.0
2009-01-30,89.239998,93.5,89.239998,92.559998,68.175079,7484510.0
2009-02-02,92.0,92.050003,87.699997,88.870003,65.45723000000001,13079720.0
2009-02-03,89.535004,90.980003,89.0,89.82,66.156937,11480200.0
2009-02-04,91.0,92.254997,88.214996,88.584999,65.247292,37993560.0
2009-02-05,89.495003,89.970001,88.010002,88.425003,65.129456,10773010.0
2009-02-06,89.300003,90.480003,88.639999,89.839996,66.171677,11709830.0
2009-02-09,90.800003,92.199997,90.300003,91.945,67.722115,10290560.0
2009-02-10,92.525002,95.815002,92.135002,94.699997,69.751297,8321990.0
2009-02-11,92.699997,94.29499799999999,90.699997,93.449997,68.830612,9321390.0
2009-02-12,93.519997,94.099998,92.45500200000001,93.385002,68.78274499999999,7140320.0
2009-02-13,94.0,95.389999,93.699997,94.415001,69.541397,7607900.0
2009-02-16,94.0,94.0,90.800003,91.394997,67.317001,13997680.0
2009-02-17,90.699997,91.440002,87.025002,88.029999,64.838516,17182670.0
2009-02-18,87.5,88.800003,86.495003,87.639999,64.551262,7830490.0
2009-02-19,88.400002,89.220001,87.434998,88.45500200000001,65.15155,8960790.0
2009-02-20,87.599998,87.889999,85.360001,86.650002,63.822083,9997450.0
2009-02-24,85.300003,86.0,83.5,85.449997,62.938213,7685210.0
2009-02-25,86.489998,87.135002,86.019997,86.43,63.660042000000004,10926310.0
2009-02-26,86.629997,88.285004,84.099998,87.480003,64.43341099999999,32437620.0
2009-02-27,87.099998,89.790001,84.300003,88.949997,65.516136,13551940.0
2009-03-02,87.309998,87.695,83.75,84.57,62.290051,18569110.0
2009-03-03,83.695,84.32,82.0,83.150002,61.244156000000004,16714920.0
2009-03-04,83.099998,85.0,83.0,83.900002,61.796558,17119990.0
2009-03-05,84.970001,85.449997,79.114998,80.139999,59.027142000000005,24224790.0
2009-03-06,80.0,82.79499799999999,77.400002,80.18,59.056594999999994,23708540.0
2009-03-09,79.900002,81.470001,78.224998,79.875,58.831936,17589460.0
2009-03-12,81.5,83.400002,79.114998,79.864998,58.824585,28705440.0
2009-03-13,81.5,83.68,81.224998,83.425003,61.446712,45726300.0
2009-03-16,84.0,85.260002,82.665001,84.485001,62.22744,27255110.0
2009-03-17,84.400002,85.900002,80.910004,82.815002,60.997402,20923510.0
2009-03-18,83.989998,86.0,83.220001,84.300003,62.091182999999994,18910410.0
2009-03-19,84.870003,86.300003,81.900002,83.239998,61.31044,24426110.0
2009-03-20,82.985001,84.16999799999999,81.099998,83.93,61.818653000000005,20286070.0
2009-03-23,85.385002,89.980003,84.199997,88.5,65.184692,20449730.0
2009-03-24,91.625,97.400002,91.0,94.16999799999999,69.360924,37700540.0
2009-03-25,94.790001,97.690002,93.699997,97.214996,71.603729,17909000.0
2009-03-26,98.800003,100.5,97.514999,99.339996,73.16890699999999,23156420.0
2009-03-27,98.099998,101.300003,98.089996,100.144997,73.761826,22880780.0
2009-03-30,98.0,98.0,94.07,94.550003,69.640839,13254840.0
2009-03-31,95.199997,98.790001,90.440002,97.339996,71.695801,37202700.0
2009-04-01,98.5,100.5,95.160004,100.0,73.65501400000001,12946820.0
2009-04-02,101.099998,105.190002,101.099998,103.654999,76.347107,17795660.0
2009-04-06,105.5,107.5,104.025002,106.415001,78.379974,13472880.0
2009-04-08,106.5,106.5,99.230003,104.675003,77.098396,26514260.0
2009-04-09,106.379997,108.0,103.209999,104.440002,76.92531600000001,14886190.0
2009-04-13,104.0,111.495003,104.0,109.834999,80.89899399999999,17111010.0
2009-04-15,105.485001,110.470001,104.25,108.275002,79.749977,31337760.0
2009-04-16,109.879997,110.775002,105.724998,106.610001,78.523613,19520750.0
2009-04-17,108.400002,109.800003,105.654999,107.190002,78.950813,23521060.0
2009-04-20,107.0,110.0,104.824997,106.709999,78.597275,11465890.0
2009-04-21,104.0,110.0,103.480003,108.709999,80.070374,15048050.0
2009-04-22,109.0,110.235001,106.5,108.934998,80.23608399999999,12091220.0
2009-04-23,109.5,110.0,106.550003,109.25,80.468109,14411550.0
2009-04-24,110.0,112.290001,107.699997,111.025002,81.77549,18655130.0
2009-04-27,110.0,113.995003,109.0,111.540001,82.154808,14392790.0
2009-04-28,111.824997,112.699997,106.300003,107.184998,78.947144,14800880.0
2009-04-29,108.599998,111.0,107.199997,110.035004,81.046295,21428150.0
2009-04-30,221.0,221.0,221.0,221.0,162.777603,0.0
2009-05-04,115.004997,120.699997,112.025002,119.940002,88.341835,22633070.0
2009-05-05,120.68,120.995003,116.5,119.324997,87.888855,15231940.0
2009-05-06,119.010002,119.900002,116.099998,117.195,86.319992,12143090.0
2009-05-07,118.0,118.800003,116.665001,117.635002,86.64409599999999,7728840.0
2009-05-08,116.0,117.5,111.45500200000001,114.404999,84.265015,22569330.0
2009-05-11,118.769997,118.769997,113.800003,114.699997,84.4823,16918360.0
2009-05-12,114.400002,120.394997,113.925003,119.529999,88.03984799999999,17304420.0
2009-05-13,119.5,119.879997,114.699997,116.43,85.75655400000001,23759760.0
2009-05-14,115.224998,116.900002,112.125,116.364998,85.708679,9601650.0
2009-05-15,117.5,119.199997,115.720001,118.495003,87.277512,20759960.0
2009-05-18,126.114998,153.970001,126.114998,137.809998,101.503998,135750.0
2009-05-19,139.199997,149.899994,120.629997,141.179993,103.986153,49653480.0
2009-05-20,139.699997,141.100006,135.100006,138.059998,101.688133,14518990.0
2009-05-21,137.440002,140.5,133.419998,137.100006,100.981033,19088350.0
2009-05-22,135.899994,139.389999,134.115005,136.985001,100.896332,9138040.0
2009-05-25,137.5,138.985001,134.639999,136.360001,100.435982,8380670.0
2009-05-26,136.850006,139.195007,132.5,133.600006,98.403114,12475810.0
